Date,Time,Duration in seconds,Sleep stage
2025.11.06 02:56:26,02:56:26,300,light
2025.11.06 03:01:26,03:01:26,2700,deep
2025.11.06 03:46:26,03:46:26,1260,light
2025.11.06 04:07:26,04:07:26,1440,rem
2025.11.06 04:31:26,04:31:26,60,awake
2025.11.06 04:32:26,04:32:26,600,light
2025.11.06 04:42:26,04:42:26,960,rem
2025.11.06 04:58:26,04:58:26,120,awake
2025.11.06 05:00:26,05:00:26,1560,light
2025.11.06 05:26:26,05:26:26,60,awake
2025.11.06 05:27:26,05:27:26,1920,light
2025.11.06 05:59:26,05:59:26,120,awake
2025.11.06 06:01:26,06:01:26,1680,light
2025.11.06 06:29:26,06:29:26,840,rem
2025.11.06 02:56:26,02:56:26,300,light
2025.11.06 03:01:26,03:01:26,2700,deep
2025.11.06 03:46:26,03:46:26,1260,light
2025.11.06 04:07:26,04:07:26,1440,rem
2025.11.06 04:31:26,04:31:26,60,awake
2025.11.06 04:32:26,04:32:26,600,light
2025.11.06 04:42:26,04:42:26,960,rem
2025.11.06 04:58:26,04:58:26,120,awake
2025.11.06 05:00:26,05:00:26,1560,light
2025.11.06 05:26:26,05:26:26,60,awake
2025.11.06 05:27:26,05:27:26,1920,light
2025.11.06 05:59:26,05:59:26,120,awake
2025.11.06 06:01:26,06:01:26,1680,light
2025.11.06 06:29:26,06:29:26,840,rem
