Date,Time,Duration in seconds,Sleep stage
2025.11.12 22:24:05,22:24:05,300,light
2025.11.12 22:29:05,22:29:05,360,deep
2025.11.12 22:35:05,22:35:05,480,light
2025.11.12 22:43:05,22:43:05,600,deep
2025.11.12 22:53:05,22:53:05,660,light
2025.11.12 23:04:05,23:04:05,780,deep
2025.11.12 23:17:05,23:17:05,1620,awake
2025.11.12 23:44:05,23:44:05,600,light
2025.11.12 23:54:05,23:54:05,1680,deep
2025.11.13 00:22:05,00:22:05,600,light
2025.11.13 00:32:05,00:32:05,960,awake
2025.11.13 00:48:05,00:48:05,2220,light
2025.11.13 01:25:05,01:25:05,3840,awake
2025.11.13 02:29:05,02:29:05,1140,light
2025.11.13 02:48:05,02:48:05,600,deep
2025.11.13 02:58:05,02:58:05,1740,light
2025.11.13 03:27:05,03:27:05,420,rem
2025.11.13 03:34:05,03:34:05,1440,light
2025.11.13 03:58:05,03:58:05,2760,deep
2025.11.13 04:44:05,04:44:05,960,light
2025.11.13 05:00:05,05:00:05,1140,rem
2025.11.13 05:19:05,05:19:05,60,awake
2025.11.13 05:20:05,05:20:05,1800,light
2025.11.13 05:50:05,05:50:05,60,awake
2025.11.13 05:51:05,05:51:05,1620,light
2025.11.13 06:18:05,06:18:05,1680,awake
2025.11.13 06:46:05,06:46:05,600,light
2025.11.13 06:56:05,06:56:05,660,deep
2025.11.12 22:24:05,22:24:05,300,light
2025.11.12 22:29:05,22:29:05,360,deep
2025.11.12 22:35:05,22:35:05,480,light
2025.11.12 22:43:05,22:43:05,600,deep
2025.11.12 22:53:05,22:53:05,660,light
2025.11.12 23:04:05,23:04:05,780,deep
2025.11.12 23:17:05,23:17:05,1620,awake
2025.11.12 23:44:05,23:44:05,600,light
2025.11.12 23:54:05,23:54:05,1680,deep
2025.11.13 00:22:05,00:22:05,600,light
2025.11.13 00:32:05,00:32:05,960,awake
2025.11.13 00:48:05,00:48:05,2220,light
2025.11.13 01:25:05,01:25:05,3840,awake
2025.11.13 02:29:05,02:29:05,1140,light
2025.11.13 02:48:05,02:48:05,600,deep
2025.11.13 02:58:05,02:58:05,1740,light
2025.11.13 03:27:05,03:27:05,420,rem
2025.11.13 03:34:05,03:34:05,1440,light
2025.11.13 03:58:05,03:58:05,2760,deep
2025.11.13 04:44:05,04:44:05,960,light
2025.11.13 05:00:05,05:00:05,1140,rem
2025.11.13 05:19:05,05:19:05,60,awake
2025.11.13 05:20:05,05:20:05,1800,light
2025.11.13 05:50:05,05:50:05,60,awake
2025.11.13 05:51:05,05:51:05,1620,light
2025.11.13 06:18:05,06:18:05,1680,awake
2025.11.13 06:46:05,06:46:05,600,light
2025.11.13 06:56:05,06:56:05,660,deep
