Date,Time,Duration in seconds,Sleep stage
2025.10.18 00:51:09,00:51:09,780,deep
2025.10.18 01:04:09,01:04:09,1620,light
2025.10.18 01:31:09,01:31:09,3060,awake
2025.10.18 02:22:09,02:22:09,1500,light
2025.10.18 02:47:09,02:47:09,60,awake
2025.10.18 02:48:09,02:48:09,600,light
2025.10.18 02:58:09,02:58:09,2580,awake
2025.10.18 03:41:09,03:41:09,840,light
2025.10.18 03:55:09,03:55:09,300,deep
2025.10.18 04:00:09,04:00:09,120,awake
2025.10.18 04:02:09,04:02:09,720,light
2025.10.18 04:14:09,04:14:09,960,awake
2025.10.18 04:30:09,04:30:09,300,light
2025.10.18 04:35:09,04:35:09,300,awake
2025.10.18 04:40:09,04:40:09,120,light
2025.10.18 04:42:09,04:42:09,1440,awake
2025.10.18 05:06:09,05:06:09,2400,light
2025.10.18 05:46:09,05:46:09,1140,deep
2025.10.18 06:05:09,06:05:09,300,light
2025.10.18 06:10:09,06:10:09,60,awake
2025.10.18 06:11:09,06:11:09,180,light
2025.10.18 06:14:09,06:14:09,1320,rem
2025.10.18 06:36:09,06:36:09,60,awake
2025.10.18 06:37:09,06:37:09,600,light
2025.10.18 06:47:09,06:47:09,1020,rem
2025.10.19 00:35:01,00:35:01,600,light
2025.10.19 00:45:01,00:45:01,1920,deep
2025.10.19 01:17:01,01:17:01,1620,light
2025.10.19 01:44:01,01:44:01,780,rem
2025.10.19 01:57:01,01:57:01,1080,light
2025.10.19 02:15:01,02:15:01,180,awake
2025.10.19 02:18:01,02:18:01,3600,light
2025.10.19 03:18:01,03:18:01,240,awake
2025.10.19 03:22:01,03:22:01,840,light
2025.10.19 03:36:01,03:36:01,60,awake
2025.10.19 03:37:01,03:37:01,2820,light
2025.10.19 04:24:01,04:24:01,60,awake
2025.10.19 04:25:01,04:25:01,1500,light
2025.10.19 04:50:01,04:50:01,120,awake
2025.10.19 04:52:01,04:52:01,360,light
2025.10.20 03:16:15,03:16:15,1140,light
2025.10.20 03:35:15,03:35:15,1620,deep
2025.10.20 04:02:15,04:02:15,1020,light
2025.10.20 04:19:15,04:19:15,1380,rem
2025.10.20 04:42:15,04:42:15,3000,light
2025.10.20 05:32:15,05:32:15,1260,deep
2025.10.20 05:53:15,05:53:15,2040,light
2025.10.20 06:27:15,06:27:15,420,awake
2025.10.20 06:34:15,06:34:15,180,light
2025.10.20 06:37:15,06:37:15,1080,awake
2025.10.20 06:55:15,06:55:15,600,light
2025.10.20 07:05:15,07:05:15,660,awake
2025.10.20 07:16:15,07:16:15,2820,light
2025.10.20 08:03:15,08:03:15,720,rem
2025.10.21 00:06:55,00:06:55,600,light
2025.10.21 00:16:55,00:16:55,780,deep
2025.10.21 00:29:55,00:29:55,2940,light
2025.10.21 01:18:55,01:18:55,120,awake
2025.10.21 01:20:55,01:20:55,600,light
2025.10.21 01:30:55,01:30:55,780,awake
2025.10.21 01:43:55,01:43:55,960,light
2025.10.21 01:59:55,01:59:55,60,awake
2025.10.21 02:00:55,02:00:55,1740,light
2025.10.21 02:29:55,02:29:55,180,awake
2025.10.21 02:32:55,02:32:55,1080,light
2025.10.21 02:50:55,02:50:55,12840,awake
2025.10.21 06:24:55,06:24:55,480,light
2025.10.21 06:32:55,06:32:55,1740,deep
2025.10.21 07:01:55,07:01:55,60,awake
2025.10.21 07:02:55,07:02:55,720,light
2025.10.21 07:14:55,07:14:55,60,awake
