Date,Time,Duration in seconds,Sleep stage
2025.11.11 21:47:26,21:47:26,600,light
2025.11.11 21:57:26,21:57:26,1860,deep
2025.11.11 22:28:26,22:28:26,1620,light
2025.11.11 22:55:26,22:55:26,240,awake
2025.11.11 22:59:26,22:59:26,4320,light
2025.11.12 00:11:26,00:11:26,4020,awake
2025.11.12 01:18:26,01:18:26,600,light
2025.11.12 01:28:26,01:28:26,300,deep
2025.11.12 01:33:26,01:33:26,720,awake
2025.11.12 01:45:26,01:45:26,2340,light
2025.11.12 02:24:26,02:24:26,420,awake
2025.11.12 02:31:26,02:31:26,2220,light
2025.11.12 03:08:26,03:08:26,2640,awake
2025.11.12 03:52:26,03:52:26,600,light
2025.11.12 04:02:26,04:02:26,540,deep
2025.11.12 04:11:26,04:11:26,180,awake
2025.11.12 04:14:26,04:14:26,2040,light
2025.11.12 04:48:26,04:48:26,360,deep
2025.11.12 04:54:26,04:54:26,900,light
2025.11.12 05:09:26,05:09:26,120,awake
2025.11.12 05:11:26,05:11:26,60,light
2025.11.12 05:12:26,05:12:26,1200,rem
2025.11.12 05:32:26,05:32:26,540,light
2025.11.12 05:41:26,05:41:26,60,awake
2025.11.12 05:42:26,05:42:26,720,light
2025.11.12 05:54:26,05:54:26,60,awake
2025.11.12 05:55:26,05:55:26,720,light
2025.11.11 21:47:26,21:47:26,600,light
2025.11.11 21:57:26,21:57:26,1860,deep
2025.11.11 22:28:26,22:28:26,1620,light
2025.11.11 22:55:26,22:55:26,240,awake
2025.11.11 22:59:26,22:59:26,4320,light
2025.11.12 00:11:26,00:11:26,4020,awake
2025.11.12 01:18:26,01:18:26,600,light
2025.11.12 01:28:26,01:28:26,300,deep
2025.11.12 01:33:26,01:33:26,720,awake
2025.11.12 01:45:26,01:45:26,2340,light
2025.11.12 02:24:26,02:24:26,420,awake
2025.11.12 02:31:26,02:31:26,2220,light
2025.11.12 03:08:26,03:08:26,2640,awake
2025.11.12 03:52:26,03:52:26,600,light
2025.11.12 04:02:26,04:02:26,540,deep
2025.11.12 04:11:26,04:11:26,180,awake
2025.11.12 04:14:26,04:14:26,2040,light
2025.11.12 04:48:26,04:48:26,360,deep
2025.11.12 04:54:26,04:54:26,900,light
2025.11.12 05:09:26,05:09:26,120,awake
2025.11.12 05:11:26,05:11:26,60,light
2025.11.12 05:12:26,05:12:26,1200,rem
2025.11.12 05:32:26,05:32:26,540,light
2025.11.12 05:41:26,05:41:26,60,awake
2025.11.12 05:42:26,05:42:26,720,light
2025.11.12 05:54:26,05:54:26,60,awake
2025.11.12 05:55:26,05:55:26,720,light
