Date,Time,Oxygen saturation
2025.11.13 00:00:00,00:00:00,90.0
2025.11.13 00:01:00,00:01:00,91.0
2025.11.13 00:02:00,00:02:00,91.0
2025.11.13 00:03:00,00:03:00,91.0
2025.11.13 00:04:00,00:04:00,92.0
2025.11.13 00:05:00,00:05:00,91.0
2025.11.13 00:06:00,00:06:00,92.0
2025.11.13 00:07:00,00:07:00,91.0
2025.11.13 00:08:00,00:08:00,92.0
2025.11.13 00:09:00,00:09:00,93.0
2025.11.13 00:10:00,00:10:00,93.0
2025.11.13 00:11:00,00:11:00,93.0
2025.11.13 00:12:00,00:12:00,92.0
2025.11.13 00:13:00,00:13:00,92.0
2025.11.13 00:14:00,00:14:00,93.0
2025.11.13 00:15:00,00:15:00,91.0
2025.11.13 00:16:00,00:16:00,92.0
2025.11.13 00:17:00,00:17:00,92.0
2025.11.13 00:18:00,00:18:00,93.0
2025.11.13 00:19:00,00:19:00,92.0
2025.11.13 00:20:00,00:20:00,91.0
2025.11.13 00:21:00,00:21:00,91.0
2025.11.13 00:22:00,00:22:00,92.0
2025.11.13 00:23:00,00:23:00,92.0
2025.11.13 00:24:00,00:24:00,92.0
2025.11.13 00:25:00,00:25:00,93.0
2025.11.13 00:26:00,00:26:00,92.0
2025.11.13 00:27:00,00:27:00,92.0
2025.11.13 00:28:00,00:28:00,92.0
2025.11.13 00:29:00,00:29:00,93.0
2025.11.13 00:30:00,00:30:00,92.0
2025.11.13 00:31:00,00:31:00,93.0
2025.11.13 00:32:00,00:32:00,92.0
2025.11.13 00:33:00,00:33:00,92.0
2025.11.13 00:34:00,00:34:00,93.0
2025.11.13 00:35:00,00:35:00,99.0
2025.11.13 00:36:00,00:36:00,93.0
2025.11.13 00:37:00,00:37:00,91.0
2025.11.13 00:38:00,00:38:00,91.0
2025.11.13 00:39:00,00:39:00,93.0
2025.11.13 00:40:00,00:40:00,93.0
2025.11.13 00:41:00,00:41:00,93.0
2025.11.13 00:42:00,00:42:00,93.0
2025.11.13 00:43:00,00:43:00,93.0
