Date,Time,Oxygen saturation
2024.12.14 00.00,00.00,97.0
2024.12.14 00.01,00.01,94.0
2024.12.14 00.02,00.02,96.0
2024.12.14 00.03,00.03,97.0
2024.12.14 00.04,00.04,95.0
2024.12.14 00.05,00.05,95.0
2024.12.14 00.06,00.06,94.0
2024.12.14 00.07,00.07,95.0
2024.12.14 00.08,00.08,95.0
2024.12.14 00.09,00.09,96.0
2024.12.14 00.10,00.10,95.0
2024.12.14 00.11,00.11,96.0
2024.12.14 00.12,00.12,96.0
2024.12.14 00.13,00.13,96.0
2024.12.14 00.14,00.14,97.0
2024.12.14 00.15,00.15,99.0
2024.12.14 00.16,00.16,97.0
2024.12.14 00.17,00.17,97.0
2024.12.14 00.18,00.18,99.0
2024.12.14 00.19,00.19,99.0
2024.12.14 00.20,00.20,98.0
2024.12.14 00.21,00.21,98.0
2024.12.14 00.22,00.22,96.0
2024.12.14 00.23,00.23,99.0
2024.12.14 00.24,00.24,99.0
2024.12.14 00.25,00.25,99.0
2024.12.14 00.26,00.26,99.0
2024.12.14 00.27,00.27,99.0
2024.12.14 00.28,00.28,99.0
2024.12.14 00.29,00.29,99.0
2024.12.14 00.30,00.30,99.0
2024.12.14 00.31,00.31,93.0
2024.12.14 00.32,00.32,97.0
2024.12.14 00.33,00.33,97.0
2024.12.14 00.34,00.34,97.0
2024.12.14 00.35,00.35,94.0
2024.12.14 00.36,00.36,94.0
2024.12.14 00.37,00.37,92.0
2024.12.14 00.38,00.38,93.0
2024.12.14 00.39,00.39,94.0
2024.12.14 00.40,00.40,94.0
2024.12.14 00.41,00.41,96.0
2024.12.14 00.42,00.42,95.0
2024.12.14 00.43,00.43,95.0
2024.12.14 00.44,00.44,96.0
2024.12.14 00.45,00.45,96.0
2024.12.14 00.46,00.46,92.0
2024.12.14 00.47,00.47,94.0
2024.12.14 00.48,00.48,94.0
2024.12.14 00.49,00.49,94.0
2024.12.14 00.50,00.50,96.0
2024.12.14 00.51,00.51,90.0
2024.12.14 00.52,00.52,91.0
2024.12.14 00.53,00.53,94.0
2024.12.14 00.54,00.54,93.0
2024.12.14 00.55,00.55,96.0
2024.12.14 00.56,00.56,94.0
2024.12.14 00.57,00.57,95.0
2024.12.14 00.58,00.58,96.0
2024.12.14 00.59,00.59,92.0
2024.12.14 01.00,01.00,92.0
2024.12.14 01.01,01.01,93.0
2024.12.14 01.02,01.02,94.0
2024.12.14 01.03,01.03,93.0
2024.12.14 01.04,01.04,94.0
2024.12.14 01.05,01.05,95.0
2024.12.14 01.06,01.06,95.0
2024.12.14 01.07,01.07,95.0
2024.12.14 01.08,01.08,93.0
2024.12.14 01.09,01.09,95.0
2024.12.14 01.10,01.10,95.0
2024.12.14 01.11,01.11,94.0
2024.12.14 01.12,01.12,94.0
2024.12.14 01.13,01.13,96.0
2024.12.14 01.14,01.14,96.0
2024.12.14 01.15,01.15,97.0
2024.12.14 01.16,01.16,96.0
2024.12.14 01.17,01.17,93.0
2024.12.14 01.18,01.18,96.0
2024.12.14 01.19,01.19,95.0
2024.12.14 01.20,01.20,96.0
2024.12.14 01.21,01.21,96.0
2024.12.14 01.22,01.22,96.0
2024.12.14 01.23,01.23,96.0
2024.12.14 01.24,01.24,95.0
2024.12.14 01.25,01.25,96.0
2024.12.14 01.26,01.26,96.0
2024.12.14 01.27,01.27,94.0
2024.12.14 01.28,01.28,96.0
2024.12.14 01.29,01.29,96.0
2024.12.14 01.30,01.30,96.0
2024.12.14 01.31,01.31,92.0
2024.12.14 01.32,01.32,94.0
2024.12.14 01.33,01.33,96.0
2024.12.14 01.34,01.34,94.0
2024.12.14 01.35,01.35,95.0
2024.12.14 01.36,01.36,95.0
2024.12.14 01.37,01.37,94.0
2024.12.14 01.38,01.38,95.0
2024.12.14 01.39,01.39,95.0
2024.12.14 01.40,01.40,93.0
2024.12.14 01.41,01.41,96.0
2024.12.14 01.42,01.42,94.0
2024.12.14 01.43,01.43,96.0
2024.12.14 01.45,01.45,97.0
