Date,Time,Oxygen saturation
2024.12.16 00.00,00.00,94.0
2024.12.16 00.01,00.01,95.0
2024.12.16 00.02,00.02,95.0
2024.12.16 00.03,00.03,94.0
2024.12.16 00.04,00.04,94.0
2024.12.16 00.05,00.05,92.0
2024.12.16 00.06,00.06,93.0
2024.12.16 00.07,00.07,93.0
2024.12.16 00.08,00.08,92.0
2024.12.16 00.09,00.09,90.0
2024.12.16 00.10,00.10,89.0
2024.12.16 00.11,00.11,89.0
2024.12.16 00.12,00.12,91.0
2024.12.16 00.13,00.13,90.0
2024.12.16 00.14,00.14,89.0
2024.12.16 00.15,00.15,91.0
2024.12.16 00.16,00.16,92.0
2024.12.16 00.17,00.17,92.0
2024.12.16 00.18,00.18,97.0
2024.12.16 00.19,00.19,97.0
2024.12.16 00.20,00.20,96.0
2024.12.16 00.21,00.21,95.0
2024.12.16 00.22,00.22,96.0
2024.12.16 00.23,00.23,96.0
2024.12.16 00.24,00.24,95.0
2024.12.16 00.25,00.25,96.0
2024.12.16 00.26,00.26,97.0
2024.12.16 00.27,00.27,98.0
2024.12.16 00.28,00.28,98.0
2024.12.16 00.29,00.29,97.0
2024.12.16 00.30,00.30,97.0
2024.12.16 00.31,00.31,98.0
2024.12.16 00.32,00.32,98.0
2024.12.16 00.33,00.33,95.0
2024.12.16 00.34,00.34,96.0
2024.12.16 00.35,00.35,96.0
2024.12.16 00.36,00.36,96.0
2024.12.16 00.37,00.37,97.0
2024.12.16 00.38,00.38,97.0
2024.12.16 00.39,00.39,97.0
2024.12.16 00.40,00.40,97.0
2024.12.16 00.41,00.41,97.0
2024.12.16 00.42,00.42,98.0
2024.12.16 00.43,00.43,98.0
2024.12.16 00.44,00.44,98.0
2024.12.16 00.45,00.45,94.0
2024.12.16 00.46,00.46,93.0
2024.12.16 00.47,00.47,95.0
2024.12.16 00.48,00.48,95.0
2024.12.16 00.49,00.49,94.0
2024.12.16 00.50,00.50,95.0
2024.12.16 00.51,00.51,95.0
2024.12.16 00.52,00.52,95.0
2024.12.16 00.53,00.53,95.0
2024.12.16 00.54,00.54,95.0
2024.12.16 00.55,00.55,94.0
2024.12.16 00.56,00.56,95.0
2024.12.16 00.57,00.57,95.0
2024.12.16 00.58,00.58,94.0
2024.12.16 00.59,00.59,95.0
2024.12.16 01.00,01.00,95.0
2024.12.16 01.01,01.01,95.0
2024.12.16 01.02,01.02,95.0
2024.12.16 01.03,01.03,95.0
2024.12.16 01.04,01.04,95.0
2024.12.16 01.05,01.05,95.0
2024.12.16 01.06,01.06,95.0
2024.12.16 01.07,01.07,95.0
2024.12.16 01.08,01.08,93.0
2024.12.16 01.09,01.09,92.0
2024.12.16 01.10,01.10,94.0
2024.12.16 01.11,01.11,94.0
2024.12.16 01.12,01.12,96.0
2024.12.16 01.13,01.13,96.0
